BUYER_COUNTY,all_active_wt,oxy_wt,hyd_wt,perc_oxy,perc_hyd,perc_retail,perc_chain,perc_practitioner,most_dist_channel,pharmacy_num,dominance,State,Year,est_death_rate_cat,Population,median_income,Political.affiliation,act_wt_person_county,political_aff
MARION,28173.370608175,14247.717648175,13925.65296,50.6,49.4,0.30759739115106643,0.690463599506434,0.0019390093424995593,CHAIN PHARMACY,33,No,West Virginia,2012,2,56777,40827,Republican,0.4962109764195889,Republican
MARION,28173.370608175,14247.717648175,13925.65296,50.6,49.4,0.30759739115106643,0.690463599506434,0.0019390093424995593,CHAIN PHARMACY,33,No,West Virginia,2012,2,56777,40827,Democrat,0.4962109764195889,Democrat
MARION,28173.370608175,14247.717648175,13925.65296,50.6,49.4,0.30759739115106643,0.690463599506434,0.0019390093424995593,CHAIN PHARMACY,33,No,Ohio,2012,3,66236,40827,Republican,0.42534830920005734,Republican
MARION,28173.370608175,14247.717648175,13925.65296,50.6,49.4,0.30759739115106643,0.690463599506434,0.0019390093424995593,CHAIN PHARMACY,33,No,Ohio,2012,3,66236,40827,Democrat,0.42534830920005734,Democrat
MARION,28173.370608175,14247.717648175,13925.65296,50.6,49.4,0.30759739115106643,0.690463599506434,0.0019390093424995593,CHAIN PHARMACY,33,No,Ohio,2012,3,66236,40966,Republican,0.42534830920005734,Republican
MARION,28173.370608175,14247.717648175,13925.65296,50.6,49.4,0.30759739115106643,0.690463599506434,0.0019390093424995593,CHAIN PHARMACY,33,No,Ohio,2012,3,66236,40966,Democrat,0.42534830920005734,Democrat
MARSHALL,11796.797059999999,7857.8225,3938.97456,66.60000000000001,33.39999999999999,0.14720652856246078,0.852165725047081,6.277463904582549e-4,CHAIN PHARMACY,9,No,West Virginia,2012,3,32691,40288,Democrat,0.360857638493775,Democrat
MASON,7158.34851,2947.019625,4211.328885,41.199999999999996,58.800000000000004,0.4948545861297539,0.5020134228187919,0.003131991051454139,CHAIN PHARMACY,6,Yes,West Virginia,2012,4,27242,37877,Democrat,0.26276883158358416,Democrat
MCDOWELL,8855.372535,4314.630375,4540.74216,48.699999999999996,51.300000000000004,0.6341059602649006,0.3658940397350993,0,RETAIL PHARMACY,9,No,West Virginia,2012,6,21316,22972,Democrat,0.41543312699380747,Democrat
MERCER,23118.494948475,10504.547033474999,12613.947915,45.4,54.6,0.4522359040829553,0.5451717433570966,0.002592352559948153,CHAIN PHARMACY,29,No,Ohio,2012,1,40841,52234,Republican,0.5660609423979579,Republican
MERCER,23118.494948475,10504.547033474999,12613.947915,45.4,54.6,0.4522359040829553,0.5451717433570966,0.002592352559948153,CHAIN PHARMACY,29,No,Ohio,2012,1,40841,52234,Democrat,0.5660609423979579,Democrat
MERCER,23118.494948475,10504.547033474999,12613.947915,45.4,54.6,0.4522359040829553,0.5451717433570966,0.002592352559948153,CHAIN PHARMACY,29,No,Ohio,2012,1,40841,34517,Republican,0.5660609423979579,Republican
MERCER,23118.494948475,10504.547033474999,12613.947915,45.4,54.6,0.4522359040829553,0.5451717433570966,0.002592352559948153,CHAIN PHARMACY,29,No,Ohio,2012,1,40841,34517,Democrat,0.5660609423979579,Democrat
MERCER,23118.494948475,10504.547033474999,12613.947915,45.4,54.6,0.4522359040829553,0.5451717433570966,0.002592352559948153,CHAIN PHARMACY,29,No,West Virginia,2012,6,62358,34517,Republican,0.3707382364488117,Republican
MERCER,23118.494948475,10504.547033474999,12613.947915,45.4,54.6,0.4522359040829553,0.5451717433570966,0.002592352559948153,CHAIN PHARMACY,29,No,West Virginia,2012,6,62358,34517,Democrat,0.3707382364488117,Democrat
MERCER,23118.494948475,10504.547033474999,12613.947915,45.4,54.6,0.4522359040829553,0.5451717433570966,0.002592352559948153,CHAIN PHARMACY,29,No,West Virginia,2012,6,62358,52234,Republican,0.3707382364488117,Republican
MERCER,23118.494948475,10504.547033474999,12613.947915,45.4,54.6,0.4522359040829553,0.5451717433570966,0.002592352559948153,CHAIN PHARMACY,29,No,West Virginia,2012,6,62358,52234,Democrat,0.3707382364488117,Democrat
MINERAL,4683.9984349999995,2886.5507,1797.447735,61.6,38.4,0.5262172284644194,0.4737827715355805,0,RETAIL PHARMACY,7,Yes,West Virginia,2012,3,27918,32968,Republican,0.1677770053370585,Republican
MINGO,11435.48601,4683.898725,6751.587285,41,59,0.9323467230443975,0.06638477801268498,0.0012684989429175475,RETAIL PHARMACY,10,No,West Virginia,2012,6,26133,34518,Democrat,0.43758795431064174,Democrat
MONONGALIA,17186.062509375,10240.126689375,6945.935820000001,59.599999999999994,40.400000000000006,0.31598619896492236,0.6827199539965497,0.0012938470385278895,CHAIN PHARMACY,23,No,West Virginia,2012,2,100539,41326,Democrat,0.17093926246904184,Democrat
MONROE,3869.59978,2034.96535,1834.63443,52.6,47.4,0.820067264573991,0.17937219730941703,5.605381165919282e-4,RETAIL PHARMACY,7,No,West Virginia,2012,5,13507,41677,Republican,0.2864884711631006,Republican
MONROE,3869.59978,2034.96535,1834.63443,52.6,47.4,0.820067264573991,0.17937219730941703,5.605381165919282e-4,RETAIL PHARMACY,7,No,West Virginia,2012,5,13507,41677,Republican,0.2864884711631006,Republican
MONROE,3869.59978,2034.96535,1834.63443,52.6,47.4,0.820067264573991,0.17937219730941703,5.605381165919282e-4,RETAIL PHARMACY,7,No,West Virginia,2012,5,13507,39877,Republican,0.2864884711631006,Republican
MONROE,3869.59978,2034.96535,1834.63443,52.6,47.4,0.820067264573991,0.17937219730941703,5.605381165919282e-4,RETAIL PHARMACY,7,No,West Virginia,2012,5,13507,39877,Republican,0.2864884711631006,Republican
MONROE,3869.59978,2034.96535,1834.63443,52.6,47.4,0.820067264573991,0.17937219730941703,5.605381165919282e-4,RETAIL PHARMACY,7,No,Ohio,2012,2,14574,39877,Republican,0.26551391381913,Republican
MONROE,3869.59978,2034.96535,1834.63443,52.6,47.4,0.820067264573991,0.17937219730941703,5.605381165919282e-4,RETAIL PHARMACY,7,No,Ohio,2012,2,14574,39877,Republican,0.26551391381913,Republican
MONROE,3869.59978,2034.96535,1834.63443,52.6,47.4,0.820067264573991,0.17937219730941703,5.605381165919282e-4,RETAIL PHARMACY,7,No,Ohio,2012,2,14574,41677,Republican,0.26551391381913,Republican
MONROE,3869.59978,2034.96535,1834.63443,52.6,47.4,0.820067264573991,0.17937219730941703,5.605381165919282e-4,RETAIL PHARMACY,7,No,Ohio,2012,2,14574,41677,Republican,0.26551391381913,Republican
MORGAN,6814.445505,4630.646625,2183.79888,68,32,0.8735294117647059,0.12598039215686274,4.901960784313725e-4,RETAIL PHARMACY,4,Yes,Ohio,2012,2,14959,37152,Republican,0.45554151380439867,Republican
MORGAN,6814.445505,4630.646625,2183.79888,68,32,0.8735294117647059,0.12598039215686274,4.901960784313725e-4,RETAIL PHARMACY,4,Yes,Ohio,2012,2,14959,37152,Republican,0.45554151380439867,Republican
MORGAN,6814.445505,4630.646625,2183.79888,68,32,0.8735294117647059,0.12598039215686274,4.901960784313725e-4,RETAIL PHARMACY,4,Yes,Ohio,2012,2,14959,35350,Republican,0.45554151380439867,Republican
MORGAN,6814.445505,4630.646625,2183.79888,68,32,0.8735294117647059,0.12598039215686274,4.901960784313725e-4,RETAIL PHARMACY,4,Yes,Ohio,2012,2,14959,35350,Republican,0.45554151380439867,Republican
MORGAN,6814.445505,4630.646625,2183.79888,68,32,0.8735294117647059,0.12598039215686274,4.901960784313725e-4,RETAIL PHARMACY,4,Yes,West Virginia,2012,4,17450,37152,Republican,0.3905126363896848,Republican
MORGAN,6814.445505,4630.646625,2183.79888,68,32,0.8735294117647059,0.12598039215686274,4.901960784313725e-4,RETAIL PHARMACY,4,Yes,West Virginia,2012,4,17450,37152,Republican,0.3905126363896848,Republican
MORGAN,6814.445505,4630.646625,2183.79888,68,32,0.8735294117647059,0.12598039215686274,4.901960784313725e-4,RETAIL PHARMACY,4,Yes,West Virginia,2012,4,17450,35350,Republican,0.3905126363896848,Republican
MORGAN,6814.445505,4630.646625,2183.79888,68,32,0.8735294117647059,0.12598039215686274,4.901960784313725e-4,RETAIL PHARMACY,4,Yes,West Virginia,2012,4,17450,35350,Republican,0.3905126363896848,Republican
NICHOLAS,12890.3974553,7294.8063353,5595.59112,56.599999999999994,43.400000000000006,0.6156603253377447,0.3843396746622553,0,RETAIL PHARMACY,10,No,West Virginia,2012,4,26234,38780,Democrat,0.49136225719676757,Democrat
OHIO,9957.896797575,6503.151427575,3454.74537,65.3,34.7,0.3836815358554489,0.6137775268210051,0.002540937323546019,CHAIN PHARMACY,17,No,West Virginia,2012,3,44051,40652,Democrat,0.22605381938151234,Democrat
PENDLETON,842.859795,476.713875,366.14592,56.599999999999994,43.400000000000006,0.4722792607802875,0.5277207392197125,0,CHAIN PHARMACY,2,Yes,West Virginia,2012,2,7515,34087,Democrat,0.11215699201596806,Democrat
PLEASANTS,1257.857835,411.4935,846.364335,32.7,67.3,0.5253378378378378,0.47466216216216217,0,RETAIL PHARMACY,2,Yes,West Virginia,2012,3,7598,42300,Democrat,0.16555117596735983,Democrat
POCAHONTAS,1526.421175,948.94525,577.475925,62.2,37.8,0.7126654064272212,0.28733459357277885,0,RETAIL PHARMACY,3,Yes,West Virginia,2012,5,8707,32381,Democrat,0.17530965602388882,Democrat
PRESTON,3130.85581,1530.0117249999998,1600.844085,48.9,51.1,0.5205479452054794,0.4794520547945205,0,RETAIL PHARMACY,7,No,West Virginia,2012,2,33894,45538,Republican,0.0923719776361598,Republican
PUTNAM,17387.498827875,8429.939887875,8957.55894,48.5,51.5,0.5872002270469704,0.40925216404143605,0.003547608911593586,RETAIL PHARMACY,32,No,West Virginia,2012,3,56558,60693,Republican,0.3074277525350083,Republican
PUTNAM,17387.498827875,8429.939887875,8957.55894,48.5,51.5,0.5872002270469704,0.40925216404143605,0.003547608911593586,RETAIL PHARMACY,32,No,West Virginia,2012,3,56558,60693,Republican,0.3074277525350083,Republican
PUTNAM,17387.498827875,8429.939887875,8957.55894,48.5,51.5,0.5872002270469704,0.40925216404143605,0.003547608911593586,RETAIL PHARMACY,32,No,Ohio,2012,1,34188,56081,Republican,0.508584849300193,Republican
